recipe_name	ingredient_not_found	Error	item_link	weight	quantity	energy_gm	protein_gm	fat_gm	carbs_gm	total_dietary_fibre_gm	sugar_gm	sodium_mg	trans_fat_gm	total_saturated_fat_gm	cholesterol_mg	added_sugar_gm	0	0	0
coffee with skimmed milk and sugar	SUCCESS	SUCCESS	0	100	0	38.33333333	2.076190476	0.083333333	7.461428571	0	2.376190476	1.857142857	0	0.004690476	0	0			
cola fizz,cola float,cola vanilla float	SUCCESS	SUCCESS	http://www.geniuskitchen.com/recipe/classic-coke-float-173744	100	0	41.63236299	0.049569496	0.044280443	10.98390734	0.00196802	10.88426404	12.35547355	0	6.15006E-05	0.147601476	10.6601066			
waldorf salad	SUCCESS	SUCCESS	https://www.tarladalal.com/Waldorf-Salad-(-Zero-Oil)-22247r	100	0	41.74064347	1.45528562	0.446290217	7.926854892	1.52199606	3.493368352	271.9757058	0	0.012186474	1.753118844	0			
turkish salad,shepherd’s salad	SUCCESS	SUCCESS	http://www.geniuskitchen.com/recipe/turkish-salad-82177	100	0	42.20349968	1.014906027	2.589345431	4.446973428	2.057809462	1.134361633	82.72326636	0.221459494	5.331997408	0	0	0	0	0
vegetable broth	SUCCESS	SUCCESS	https://www.tarladalal.com/Vegetable-Stock-(-Thai-Cooking-)-421r	100	0	42.83333333	1.9	0.261111111	8.672222222	2.25	2.633333333	45.36111111	0	0.020555556	0	0			
zucchinni tomato salad	SUCCESS	SUCCESS	https://www.tarladalal.com/Zucchini-Bell-Pepper-and-Sprouted-Moong-Salad-40748r	100	0	43.14285714	2.416774194	1.5659447	6.548110599	1.786175115	4.415668203	194.3502304	0	0.238096774	0	0			
pomegranate juice	SUCCESS	SUCCESS	http://foodviva.com/juice-recipes/pomegranate-juice-recipe/	100	0	43.33333333	1.066666667	0.066666667	9.666666667	1.866666667	0	1.933333333	0	0	0	0			
sugarcane panakam,panakam,udipi	SUCCESS	SUCCESS	http://www.sanjeevkapoor.com/Recipe/Sugarcane-Panakam-(Udipi).html	100	0	44.11046512	0.118313953	0.200348837	10.48313953	0.015697674	49.43418605	1.48255814	49.30232558	49.3044186	49.30232558	49.30232558			
mint coriander chutney,dhaniya pudina chutney	SUCCESS	SUCCESS	https://www.tarladalal.com/Mint-and-Coriander-Chutney-3539r	100	0	44.26262626	3.122171717	0.45010101	7.363333333	4.267171717	1.385050505	207.8333333	0	0.005424242	0	0			
mint onion chutney,pudina pyaz ki chutney	SUCCESS	SUCCESS	https://www.tarladalal.com/Mint-and-Onion-Chutney-22301r	100	0	44.26262626	3.122171717	0.45010101	7.363333333	4.267171717	1.385050505	207.8333333	0	0.005424242	0	0			
mint chutney,pudina chutney	SUCCESS	SUCCESS	https://www.tarladalal.com/Mint-Chutney--Pudina-Chutney-4978r	100	0	44.26262626	3.122171717	0.45010101	7.363333333	4.267171717	1.385050505	207.8333333	0	0.005424242	0	0			
pudina chutney,mint chutney	SUCCESS	SUCCESS	https://www.tarladalal.com/Mint-Chutney--Pudina-Chutney-4978r	100	0	44.26262626	3.122171717	0.45010101	7.363333333	4.267171717	1.385050505	207.8333333	0	0.005424242	0	0			
raita veggie	SUCCESS	SUCCESS	http://www.vegrecipesofindia.com/vegetable-raita-recipe/	100	0	44.43298969	1.960412371	1.219257732	6.735505155	1.640206186	1.094804124	198.3125773	0.078284536	2.43316701	1.979381443	0			
mix vegetable raita	SUCCESS	SUCCESS	http://www.vegrecipesofindia.com/vegetable-raita-recipe/	100	0	44.43298969	1.960412371	1.219257732	6.735505155	1.640206186	1.094804124	198.3125773	0.078284536	2.43316701	1.979381443	0			
fresh musambi juice	SUCCESS	SUCCESS	0	100	0	45.35616438	0.547945205	0.205479452	10.47863014	0	4.101369863	1.136986301	0	0	0	0			
thai green curry paste	SUCCESS	SUCCESS	https://www.tarladalal.com/Green-Curry-Paste-Thai-Green-Curry-Paste-426r	100	0	47.41569282	1.856761269	0.344741235	10.43906511	2.152420701	0.778797997	668.7796327	0	0.02778798	0	0			
mango milkshake with skimmed milk without sugar	SUCCESS	SUCCESS	https://www.tarladalal.com/Mango-Milkshake-38492r	100	0	48.28571429	1.685714286	0.228571429	9.871428571	0.857142857	0	11.14285714	0	0	0	0			
strawberry milkshake without sugar	SUCCESS	SUCCESS	0	100	0	48.61538462	2.042307692	1.961538462	6.092307692	0.769230769	1.880769231	797.2307692	0.128076923	1.41	48.53846154	0			
papaya milkshake without sugar	SUCCESS	SUCCESS	http://vegetarianindianrecipes.com/papaya-milkshake-recipe/	100	0	48.8553616	2.001895262	1.852119701	6.095935162	1.10723192	0	629.6708229	0.119700748	1.138852868	7.182044888	0			
cucumber tomato salad	SUCCESS	SUCCESS	https://www.tarladalal.com/Lettuce-Tomato-and-Cucumber-Salad-with-Basil-Dressing-4643r	100	0	49.62446657	1.061052632	3.229075391	5.039573257	2.27140825	1.453698435	575.8193457	0.270042674	6.509152205	0	0			
cucumber pineapple salad	SUCCESS	SUCCESS	https://www.tarladalal.com/Pineapple-Cucumber-Salad-(-Fibre-Rich-Salad)-4246r	100	0	49.99911111	1.741448889	0.552151111	10.25521778	2.307733333	5.283884444	353.5715556	0.0276	0.018794667	0.127004444	0			
egg salad	SUCCESS	SUCCESS	http://www.foodnetwork.com/recipes/food-network-kitchen/chunky-egg-salad-recipe2-2011694	100	0	50.02103997	1.201480376	0.102295951	11.09861842	2.499724185	7.11099E-05	4.08935489	0	9.9284E-07	0	5.90474E-05			
fresh pineapple juice	SUCCESS	SUCCESS	0	100	0	50.17460317	0.342857143	0.076190476	13.09111111	0.888888889	11.00634921	1.952380952	0	0	0.005714286	0			
fresh watermelon juice	SUCCESS	SUCCESS	0	100	0	50.28947368	0.401315789	0.098684211	12.86026316	0.263157895	11.95789474	278.7631579	0	3.875	0	0			
potato  soup	SUCCESS	SUCCESS	http://www.jamieoliver.com/recipes/vegetables-recipes/baked-potato-soup/	100	0	50.6	1.415333333	2.912285714	4.607857143	0.433333333	0.347380952	211.2285714	0.020857143	0.798719048	2.047619048	0			
fresh grape juice without sugar	SUCCESS	SUCCESS	0	100	0	50.71428571	0.357142857	0.214285714	11.78571429	0.857142857	0	1.142857143	0	0	0	0			
papaya cabbage bean sprouts salad	SUCCESS	SUCCESS	https://www.tarladalal.com/Papaya-Cabbage-and-Bean-Sprouts-Salad-455r	100	0	51.26970954	2.356049793	1.773941909	6.969294606	2.375435685	3.012713693	107.2109544	0.126034855	3.061709544	0	0			
fresh apple juice	SUCCESS	SUCCESS	0	100	0	51.44444444	0.165079365	0.107936508	13.52920635	1.523809524	11.34920635	1.952380952	0	0.017777778	0	0			
coffee with milk without sugar	SUCCESS	SUCCESS	0	100	0	51.7804878	2.419512195	2.207317073	5.570731707	0	0	768.7073171	0.146341463	1.39504878	8.780487805	0			
coffee with milk with artificial sweetener	SUCCESS	SUCCESS	0	100	0	51.7804878	2.419512195	2.207317073	5.570731707	0	0	768.7073171	0.146341463	1.39504878	8.780487805	0			
beetroot carrot salad	SUCCESS	SUCCESS	http://www.vegkitchen.com/recipes/grated-beet-and-carrot-salad/	100	0	52.25872093	1.357834302	0.594781977	11.64100291	3.55872093	5.689840116	342.4825581	0	0.048462209	0	0			
cucumber tomatoes peanuts in sweet sour sauce	SUCCESS	SUCCESS	https://www.tarladalal.com/Cucumber-Tomato-and-Peanuts-in-Sweet-and-Sour-Dressing-453r	100	0	52.36553945	1.298486312	1.306924316	8.213059581	2.254589372	5.558776167	117.1916264	0.152850242	3.590537842	0	0			
summer melon	SUCCESS	SUCCESS	http://www.geniuskitchen.com/recipe/summer-melon-smoothie-122059	100	0	52.82022472	0.274157303	0.06741573	13.48235955	0.179775281	12.67741573	189.8651685	0	2.647191011	0	0			
fresh mango juice without sugar	SUCCESS	SUCCESS	0	100	0	52.85714286	0.428571429	0.285714286	12.07142857	1.428571429	0	19.71428571	0	0	0	0			
mango mania milkshake,aam milkshake	SUCCESS	SUCCESS	https://www.hydroxycut.com/recipes/mango-mania-smoothie/	100	0	53.78902954	1.026213592	0.485436893	11.76513867	1.170873786	6.175270165	158.9514563	0.005048544	0.243106796	41.75728155	0			
siu mai vegetables	SUCCESS	SUCCESS	https://www.tarladalal.com/Veg-Sui-Mai-Chinese-Veg-Dumplings-4979r	100	0	53.98316498	1.992323232	1.893350168	6.856380471	2.862794613	2.973653199	461.1791246	0.02962963	0.103520202	0	0			
palak soup shorba,spinach soup	SUCCESS	SUCCESS	https://www.tarladalal.com/Palak-Shorba-Diabetic-Friendly-33772r	100	0	54.77459016	2.302445355	3.350409836	3.891311475	1.822131148	0.029508197	589.6557377	0.054644809	0.520493169	3.278688525	0			
dum chai	SUCCESS	SUCCESS	http://www.betterbutter.in/recipe/7350/quintessentially-hyderabadi-dum-ki-chai	100	0	55.15609596	2.127098258	2.347847519	6.480138022	0.01183043	2.961748275	552.7190273	0.105159382	1.000214919	6.309562931	0			
carrot methi sabzi	SUCCESS	SUCCESS	https://www.tarladalal.com/Carrot-Methi-Subzi-(-Vitamin-A-and-Vitamin-C-Rich-Recipe-)-35081r	100	0	55.27439024	1.964634146	1.654878049	8.47804878	3.198780488	2.312195122	292.9926829	0.021463415	0.074512195	0	0			
mixed vegetable salad	SUCCESS	SUCCESS	https://www.tarladalal.com/Nutritious-Vegetable-Salad-Low-Salt-and-High-Fiber-Veg-Salad-22314r	100	0	56.28219485	1.135050392	1.140156775	11.3944009	2.305487122	5.443449048	60.41343785	0.042517357	0.985070549	0.062709966	0			
onion tomato raita	SUCCESS	SUCCESS	https://www.tarladalal.com/Tomato-Onion-Raita-41080r	100	0	56.36052202	2.951044046	2.196916803	6.532071778	0.737194127	0.427422512	684.6949429	0.077422512	3.059880914	3.915171289	0			
avocado milkshake	SUCCESS	SUCCESS	https://www.vegrecipesofindia.com/avocado-milkshake-recipe/	100	0	56.76155268	0.523585952	0.975970425	11.62634011	0	11.06839187	63.1219963	0	1.84843E-05	0	0			
8 treasure soup,eight treasure soup,chinese 8 treasure soup	SUCCESS	SUCCESS	http://www.khanapakana.com/recipe/4642dea0-79c8-4619-9665-a2110395d96c/8-treasure-soup	100	0	57.39672544	5.188534845	1.518539043	5.9829555	1.581905961	0.738480269	451.263728	0.005457599	0.268115449	7.766582704	0			
pumpkin raita,kaddu ka raita	SUCCESS	SUCCESS	https://www.tarladalal.com/Kaddu-ka-Raita-1994r	100	0	57.5372549	2.663607843	2.558980392	6.175215686	0.105882353	0.880392157	240.4988235	0.009411765	1.042956863	3.388235294	0			
jamoon raita	SUCCESS	SUCCESS	https://www.tarladalal.com/Jamun-Raita-3493r	100	0	58.10350318	3.002213376	2.259092357	7.084808917	1.851751592	1.596990446	359.3280255	0	1.290966561	3.821656051	0			
healthy gajar ka halwa	SUCCESS	SUCCESS	https://www.tarladalal.com/Low-Fat-Carrot-Halwa-Healthy-Gajar-Halwa-3608r	100	0	58.53846154	1.533846154	0.209230769	13.14153846	2.361538462	2.916923077	42.46153846	0	0.022769231	0	0			
papaya milkshake	SUCCESS	SUCCESS	http://vegetarianindianrecipes.com/papaya-milkshake-recipe/	100	0	58.68038741	1.943728814	1.798305085	8.823801453	1.075060533	2.899757869	611.4043584	0.11622276	1.105762712	6.973365617	0			
beetroot raita	SUCCESS	SUCCESS	https://www.tarladalal.com/Beetroot-Cucumber-and-Tomato-Raita-22182r	100	0	59.14711359	2.788640596	2.898324022	5.990968343	1.292364991	0.633891993	125.5400372	0.088379888	3.949944134	3.351955307	0			
cucumber tomato raita,kheera tamatar ki raita	SUCCESS	SUCCESS	https://www.tarladalal.com/Beetroot-Cucumber-and-Tomato-Raita-22182r	100	0	59.14711359	2.788640596	2.898324022	5.990968343	1.292364991	0.633891993	125.5400372	0.088379888	3.949944134	3.351955307	0			
onion raita	SUCCESS	SUCCESS	https://www.tarladalal.com/Onion-Raita-Pyaz-ka-Raita-41402r	100	0	59.5474339	2.904183515	2.088195956	7.530108865	0.96096423	0.121166407	653.3716952	0	1.256822706	3.732503888	0			
coffee with milk and sugar	SUCCESS	SUCCESS	0	100	0	59.76190476	2.361904762	2.154761905	7.818571429	0	2.376190476	750.4285714	0.142857143	1.361833333	8.571428571	0			
