recipe_name,weight,energy_gm,protein_gm,fat_gm,carbs_gm,total_dietary_fibre_gm,sugar_gm,sodium_mg,trans_fat_gm,total_saturated_fat_gm,cholesterol_mg,added_sugar_gm,clusterID,energy_gm_tag,protein_gm_tag,fat_gm_tag,carbs_gm_tag,total_dietary_fibre_gm_tag,sugar_gm_tag,sodium_mg_tag,trans_fat_gm_tag,total_saturated_fat_gm_tag,cholesterol_mg_tag,added_sugar_gm_tag
glass noodle salad,100,172.66744730000002,8.473477752,2.9303278689999996,29.24093091,1.855152225,1.933729508,1298.812705,0.058352459,1.69979918,4.262295082,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"lemon grass spicy vegetables,spicy vegetables with lemon grass",100,174.1593533,8.320600462,5.530427252000001,21.75506928,7.373325635,2.535334873,987.2459583999998,0.060969977,0.420722864,2.251732102,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"methi matar malai,matar methi malai",100,184.23487619999997,8.404512379,7.256921421,22.27549193,8.118923574,2.595995694,414.1694295,0.111259419,1.582713455,6.277717976,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"channa koraishutir chop,paneer pea croquette",100,382.2092457,15.37245742,13.33489051,50.649683700000004,9.690997567,5.244379562,509.5727494,0.10277372300000001,3.718,12.84671533,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
dal paneer chilla,100,289.16522030000004,13.14301563,12.32346933,31.86923582,4.40204735,3.607438495,864.1130466,0.145794717,1.801218679,6.672845227000001,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
stuffed shahi puri,100,266.8571429,10.12527473,11.29230769,33.78021978,5.9428571429999995,0.18021978,1933.345055,0.0,3.3406593410000003,14.63736264,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
dahi channe ki sabzi,100,266.5346535,13.16132013,7.612805281,37.74864686,6.869966997000001,6.079867987,300.73927389999994,0.07960396,1.246435644,2.3762376240000003,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
hyderabadi rice kheer,100,254.49517680000002,6.147031083,8.933118971,35.55357985,1.177706324,7.442186495,25.62936763,0.000643087,1.215217578,4.758842444,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
meat sausage,100,254.2937963,8.694042138,3.561033945,46.26914553,3.6359734689999996,3.894459618,1668.3133050000001,0.0,0.839824425,0.21303160399999999,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"khatta moong,green moong in buttermilk,gujarati khatta mag",100,253.839779,13.20740331,8.719005525,30.87248619,3.982320442,0.359668508,475.558011,0.139558011,1.190939227,2.651933702,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
